exp_id,date,git_hash,model,features,total_score,one_minus_nmae,ficr,nmae_g1,nmae_g2,nmae_g3,ficr_g1,ficr_g2,ficr_g3,val_period,fit_seconds,public_score,note
exp001,2026-07-10,6f54ded(dirty),lightgbm_l1,phase2_179feat,0.607436,0.868979,0.345893,0.123563,0.122647,0.146852,0.345041,0.427062,0.265574,2024-01-01~2024-12-31,21.9,,phase3 model selection
exp002,2026-07-10,6f54ded(dirty),xgboost_l1,phase2_179feat,0.604894,0.868897,0.34089,0.124265,0.123927,0.145115,0.340359,0.413217,0.269094,2024-01-01~2024-12-31,15.0,,phase3 model selection
exp003,2026-07-10,6f54ded(dirty),catboost_mae,phase2_179feat,0.60164,0.868027,0.335253,0.12511,0.125093,0.145717,0.331982,0.406643,0.267133,2024-01-01~2024-12-31,85.0,,phase3 model selection
exp004,2026-07-10,6f54ded(dirty),lightgbm_residual,phase2_179feat,0.599552,0.86663,0.332474,0.124716,0.124898,0.150495,0.338465,0.411358,0.247599,2024-01-01~2024-12-31,32.7,,phase3 model selection
exp005,2026-07-10,6f54ded(dirty),lightgbm_l2,phase2_179feat,0.596887,0.86789,0.325885,0.122937,0.122035,0.151359,0.343152,0.378515,0.255986,2024-01-01~2024-12-31,6.7,,phase3 model selection
exp006,2026-07-10,6f54ded(dirty),ridge,phase2_179feat,0.592596,0.868754,0.316438,0.125595,0.125202,0.142941,0.30925,0.374042,0.266022,2024-01-01~2024-12-31,0.3,,phase3 model selection
exp007,2026-07-10,6f54ded(dirty),baseline_pc_pred,phase2_179feat,0.571717,0.84366,0.299773,0.151752,0.15517,0.162096,0.29275,0.355819,0.25075,2024-01-01~2024-12-31,0.0,,phase3 model selection
exp008,2026-07-10,6f54ded(dirty),baseline_pc_pred_rho,phase2_179feat,0.560099,0.838922,0.281275,0.158147,0.158411,0.166676,0.271592,0.336644,0.23559,2024-01-01~2024-12-31,0.0,,phase3 model selection
exp009,2026-07-10,15ee5dd(dirty),B_decision_theoretic,phase2_179feat,0.631487,0.865285,0.397689,0.124965,0.134383,0.144797,0.409297,0.46553,0.318239,2024-01-01~2024-12-31,,,[CV 0.6052] 분위수 10개 -> 기대점수 최대화 점예측
exp010,2026-07-10,15ee5dd(dirty),C_optuna_tuned,phase2_179feat,0.631475,0.862561,0.400389,0.13256,0.127996,0.151762,0.43205,0.447243,0.321873,2024-01-01~2024-12-31,,,"[CV 0.6084] Optuna 20회/그룹, 목적=폴드평균 group_score"
exp011,2026-07-10,15ee5dd(dirty),A_metric_aware_tau,phase2_179feat,0.630751,0.863555,0.397948,0.135236,0.126494,0.147607,0.42186,0.455855,0.316129,2024-01-01~2024-12-31,,,"[CV 0.6059] 채점행=all, actual가중=True, 그룹별 tau=0.70/0.50/0.65"
exp012,2026-07-10,15ee5dd(dirty),phase3_lightgbm_l1,phase2_179feat,0.60739,0.868834,0.345947,0.123595,0.123052,0.146851,0.34689,0.425582,0.265368,2024-01-01~2024-12-31,,,[CV 0.5753] phase4 재현(기준선)
exp013,2026-07-10,7e62c79(dirty),phase4_v1,v1_179feat,0.630751,0.863555,0.397948,0.135236,0.126494,0.147607,0.42186,0.455855,0.316129,2024-01-01~2024-12-31,,,"[CV 0.6059] phase4b 재현(기준선, v1 179피처)"
exp014,2026-07-10,7e62c79(dirty),best_features,v2_179feat,0.630751,0.863555,0.397948,0.135236,0.126494,0.147607,0.42186,0.455855,0.316129,2024-01-01~2024-12-31,,,"[CV 0.6059] CV 1위 피처집합: v1 (기준선, 179개)"
exp015,2026-07-10,7e62c79(dirty),best_features + g3 (c),v2_179feat,0.62795,0.862846,0.393054,0.135236,0.126494,0.149734,0.42186,0.455855,0.301446,2024-01-01~2024-12-31,,,위 + 그룹3 (c) 사전학습+파인튜닝
exp016,2026-07-10,4248c9a(dirty),FINAL lightgbm_quantile (train.ipynb),v1_179feat,0.6308,0.8636,0.3979,,,,,,,2024 홀드아웃 점수(학습에서 제외했을 때). 최종 모델은 2022~2024 전체로 학습,,0.62284,"제출 파일 submissions/submission_exp016.csv | τ={'kpx_group_1': 0.7, 'kpx_group_2': 0.5, 'kpx_group_3': 0.65} | actual 가중 | Public: total 0.62284, 1-NMAE 0.8493, FICR 0.39637 (로컬 2024 대비 오프셋 -0.0080; NMAE -0.0143, FICR -0.0015)"
exp017,2026-07-10,4248c9a(dirty),FINAL blend(lightgbm_quantile + mlp_metric_loss),v1_179feat,0.6458,0.8744,0.4172,,,,,,,2024 홀드아웃(학습 제외 시). 최종 모델은 2022~2024 전체 학습,,0.63886,"제출 submission_exp017.csv | blend_w={'kpx_group_1': 0.8, 'kpx_group_2': 0.5, 'kpx_group_3': 0.9} | T_SOFT=0.006 | MLP 시드5평균 | exp016(LGB단독) 대비 홀드아웃 +0.0151 | Public: total 0.63886, 1-NMAE 0.86497, FICR 0.41276 (로컬 홀드아웃 대비 오프셋 total -0.0069, NMAE -0.0094, FICR -0.0044; phase6_nn_metric_loss.md §3-5 사전 예측 0.638과 거의 일치) | exp016(LGB단독) Public 대비 +0.0160"
exp018,2026-07-10,c873271(dirty),REJECTED scada_multitask_mlp(proto),v1_179feat,,,,,,,,,,,2023 4폴드 rolling-origin CV (05_tuning.ipynb 방식),,,"기각. src/nn.py MLP에 SCADA 보조헤드(그룹평균 풍속·터빈이용률) 추가 시도, 세 변형 모두 짝비교(그룹x폴드 11쌍) t검정에서 채택기준(t=4.23, exp017) 미달: 풍속aux t=1.51/p=0.16, 이용률aux t=2.17/p=0.055, 둘다 t=-0.32/p=0.76(중복정보로 상쇄). 코드베이스 미반영, 프로토타입만 세션 스크래치에서 실행. 상세: reports/phase7_scada_multitask.md"
